UF;MUNICIPIO;POPULACAO_ESTIMADA;COD_MUNICIPIO
RO;Alta Floresta D'Oeste;22853;1100015
RO;Ariquemes;108573;1100023
RO;Cabixi;5690;1100031
RO;Cacoal;97637;1100049
RO;Cerejeiras;16975;1100056
RO;Colorado do Oeste;16588;1100064
RO;Corumbiara;8001;1100072
RO;Costa Marques;13522;1100080
RO;Espigão D'Oeste;32717;1100098
RO;Guajará-Mirim;43553;1100106
RO;Jaru;55583;1100114
RO;Ji-Paraná;139359;1100122
RO;Machadinho D'Oeste;34063;1100130
RO;Nova Brasilândia D'Oeste;16504;1100148
RO;Ouro Preto do Oeste;38681;1100155
RO;Pimenta Bueno;39053;1100189
RO;Porto Velho;514873;1100205
RO;Presidente Médici;20518;1100254
RO;Rio Crespo;3753;1100262
RO;Rolim de Moura;62559;1100288
RO;Santa Luzia D'Oeste;7877;1100296
RO;Vilhena;108528;1100304
RO;São Miguel do Guaporé;22267;1100320
RO;Nova Mamoré;28496;1100338
RO;Alvorada D'Oeste;13837;1100346
RO;Alto Alegre dos Parecis;12263;1100379
RO;Alto Paraíso;17463;1100403
RO;Buritis;30729;1100452
RO;Novo Horizonte do Oeste;8056;1100502
RO;Cacaulândia;4345;1100601
RO;Campo Novo de Rondônia;9225;1100700
RO;Candeias do Jamari;24163;1100809
RO;Castanheiras;3456;1100908
RO;Chupinguaia;10129;1100924
RO;Cujubim;15883;1100940
RO;Governador Jorge Teixeira;8420;1101005
RO;Itapuã do Oeste;9209;1101104
RO;Ministro Andreazza;6657;1101203
RO;Mirante da Serra;9740;1101302
RO;Monte Negro;12241;1101401
RO;Nova União;6577;1101435
RO;Parecis;4390;1101450
RO;Pimenteiras do Oeste;2311;1101468
RO;Primavera de Rondônia;3279;1101476
RO;São Felipe D'Oeste;5605;1101484
RO;São Francisco do Guaporé;17511;1101492
RO;Seringueiras;12954;1101500
RO;Teixeirópolis;4536;1101559
RO;Theobroma;8540;1101609
RO;Urupá;11377;1101708
RO;Vale do Anari;8265;1101757
RO;Vale do Paraíso;6843;1101807
AC;Acrelândia;14657;1200013
